Gender,Age,Marital_Status,Dependents,Education,Employment_Status,Occupation_Type,Residential_Status,Annual_Income,Monthly_Expenses,Credit_Score,Existing_Loans,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Loan_Amount_Requested,Loan_Term,Loan_Purpose,Interest_Rate,Loan_Type,Co-Applicant,Bank_Account_History,Transaction_Frequency,Default_Risk,Loan_Approval_Status
0,57,2,2,1,1,2,1,57570,4022,473,2,19301,13054,0,13185,93,1,8.37,0,0,3,29,0.75,0
0,31,0,2,2,1,3,1,69760,1179,753,0,12975,20200,0,20122,123,2,5.99,0,1,0,6,0.96,0
1,63,2,2,1,0,0,1,69578,2278,578,1,19872,15772,0,26182,76,1,12.44,0,0,1,10,0.07,0
0,52,2,3,1,1,2,0,36908,2117,486,2,32759,3811,0,6651,142,0,3.67,1,1,8,27,0.22,0
1,42,1,1,1,0,1,1,57231,4387,776,2,48420,27872,0,20000,186,1,6.36,0,0,0,25,0.69,1
0,49,2,1,2,0,1,2,73735,1623,795,2,36627,22058,0,20335,164,0,5.67,0,0,7,11,0.95,1
1,38,1,0,0,2,3,1,32625,2006,393,0,20021,11026,0,11885,53,0,4.49,0,1,9,20,0.18,0
1,42,1,0,0,0,0,1,55882,1855,343,1,33737,6135,1,19530,67,0,4.95,1,0,3,21,0.67,1
0,48,2,3,2,0,3,2,43008,2442,364,1,43328,177,1,12571,236,3,11.8,0,1,0,24,0.63,1
0,32,0,3,2,0,2,2,25233,2157,500,0,29026,5905,0,8567,58,1,7.34,1,1,5,21,0.08,0
1,39,2,0,2,0,0,1,96440,3063,773,1,24091,11162,0,25540,56,1,7.65,0,0,8,15,0.22,1
1,49,2,2,2,1,1,1,109631,2318,744,2,17351,1826,0,24384,132,3,10.88,0,1,2,6,0.23,1
1,43,1,0,0,1,1,2,142307,4963,754,0,23783,3183,0,21258,211,0,11.72,1,1,6,24,0.44,1
1,68,2,3,1,2,3,1,37539,2887,336,1,49896,19749,0,12023,193,0,14.14,1,0,0,12,0.07,0
0,37,1,0,1,1,3,2,129380,1557,783,2,40693,4720,0,32699,200,2,14.74,0,0,7,7,0.26,1
0,38,1,2,0,1,3,1,149375,4464,817,1,45074,1686,0,23706,98,3,8.45,1,0,9,5,0.02,1
1,49,2,0,0,0,3,1,71260,902,728,1,19517,12570,1,20910,78,3,8.11,1,0,9,23,0.16,1
1,43,2,1,1,0,3,1,135220,3057,823,1,43294,25786,0,38280,44,2,14.15,0,0,8,12,0.31,1
1,47,1,1,1,2,0,2,70684,878,785,2,5830,27409,0,20953,35,0,9.14,0,1,7,5,0.12,1
0,36,1,3,2,1,0,1,67283,4000,568,0,3935,200,1,11245,21,2,8.49,0,1,4,21,0.37,0
1,41,1,2,0,0,3,0,88507,4612,841,0,4480,17424,0,25515,132,3,12.96,1,1,5,15,0.26,1
1,61,1,0,1,0,1,2,44493,4989,593,0,27009,10449,1,13470,136,2,5.79,1,1,6,28,0.32,0
0,40,2,2,0,1,3,2,88124,3425,727,0,19694,29696,0,20682,208,1,6.41,1,1,5,29,0.49,1
1,43,2,2,1,0,2,1,131192,2215,823,2,25467,23923,1,23590,223,2,9.53,1,1,8,16,0.53,1
1,62,1,3,2,0,0,1,50569,3826,518,1,39389,2280,0,6504,28,1,11.2,0,1,3,10,0.8,0
0,27,1,0,2,1,0,1,57948,4743,561,1,8069,17606,0,12598,76,3,10.89,0,0,9,5,0.83,1
1,32,0,3,0,1,1,0,103775,3036,765,0,32188,23664,0,26779,227,1,5.85,0,0,2,24,0.84,0
1,66,1,3,1,1,2,1,63742,4367,455,2,26135,11287,0,5005,94,3,11.49,0,0,4,23,0.6,0
0,37,1,0,1,1,2,1,123775,2700,773,2,3150,18475,0,21760,121,1,8.97,0,1,5,29,0.97,1
1,26,2,2,0,2,2,1,56089,3386,823,0,26096,9860,0,20000,177,3,9.74,0,1,0,16,0.94,1
0,49,0,0,1,0,0,2,102144,4368,770,2,6393,20072,1,22702,108,3,10.4,0,0,6,10,0.59,1
0,36,2,1,2,1,0,1,118209,3259,796,1,30979,3438,1,21339,23,0,9.19,1,0,0,6,0.25,1
0,48,2,2,0,2,2,1,112560,2852,802,0,318,3543,0,22315,229,0,10.75,0,0,7,26,0.94,0
0,43,1,1,1,1,3,1,74599,4776,798,0,32177,8876,0,20034,132,2,6.4,1,1,4,9,0.91,1
0,48,1,1,0,1,1,0,52665,4472,793,2,49387,20339,0,20000,82,0,4.35,0,0,9,20,0.76,1
1,40,2,2,0,0,0,1,139214,2602,713,0,44270,18648,0,35421,44,2,7.51,0,0,1,26,0.28,0
1,37,1,1,0,1,0,2,57629,3078,432,2,11317,15767,1,16929,175,1,13.26,0,1,4,19,0.28,0
1,26,1,0,2,1,3,1,108143,4118,708,2,30703,17413,0,22765,107,1,8.44,1,0,0,6,0.85,0
0,44,1,3,0,0,2,1,105508,4244,730,0,15382,21345,0,25968,12,1,12.63,0,1,6,10,0.14,1
1,55,2,2,1,2,1,1,34907,3184,463,0,2470,5040,0,12034,103,1,8.74,0,1,5,28,0.17,1
1,38,1,2,0,0,2,1,96672,4210,709,0,42088,1878,0,21819,31,1,14.3,0,1,6,16,0.03,1
0,48,2,2,2,0,0,1,106180,4531,809,0,5592,22604,1,27308,78,1,5.56,0,1,4,28,0.3,1
0,27,2,3,2,0,2,1,126601,952,833,2,39783,17915,0,37201,79,1,13.06,0,0,6,24,0.71,1
0,45,1,0,1,0,0,0,87378,2256,773,2,39599,29728,0,24418,28,0,13.77,0,1,1,14,0.61,1
1,36,1,1,1,1,3,2,61410,3344,475,0,5019,16937,0,12388,134,2,6.97,1,0,7,23,0.53,0
0,25,2,2,0,1,2,2,37979,2481,440,0,47153,7678,0,7467,227,0,10.89,1,1,3,17,0.05,0
1,32,2,0,0,0,1,1,136706,4303,721,1,2100,997,0,23620,204,3,5.21,1,1,4,6,0.4,0
0,23,2,1,1,1,2,2,43332,3274,398,1,35830,27813,0,17202,137,3,3.57,1,1,8,8,0.31,0
1,59,1,3,0,2,2,0,63314,1285,342,0,36400,25674,0,5904,217,0,7.36,0,0,8,10,0.67,0
0,35,0,0,1,1,2,2,137955,1298,734,2,30053,4107,0,38046,86,2,4.21,1,0,6,11,0.24,1
0,66,1,2,1,1,1,1,51222,990,440,1,25771,2849,0,19370,197,1,11.98,0,1,4,28,0.92,1
1,35,1,3,0,1,3,1,60565,3416,745,1,12168,9521,0,20000,169,3,6.09,0,0,9,19,0.39,1
0,68,1,2,2,1,0,0,64584,2712,554,0,17296,28858,0,13538,152,1,13.37,1,0,7,14,0.58,0
0,30,1,0,0,0,0,1,36440,2633,461,2,672,27216,0,14435,119,3,12.54,0,1,9,18,0.35,0
0,48,2,0,0,0,0,2,101200,4098,786,2,10311,16307,1,20803,237,3,4.41,0,0,0,19,0.72,1
0,27,2,2,1,0,2,1,57752,1516,715,0,1830,22695,0,20000,66,1,11.69,0,0,1,15,0.38,0
0,30,1,0,0,2,3,1,100814,2452,720,1,46635,12786,0,27299,200,1,14.53,0,0,0,7,0.72,0
1,26,1,3,2,1,0,1,106351,1504,762,0,46686,20418,1,22578,33,2,7.5,1,1,0,22,0.31,0
0,50,2,3,2,1,3,1,35323,2279,572,2,21650,28767,0,7048,223,2,10.4,1,1,6,21,0.74,1
0,33,1,0,1,2,3,2,61427,3911,569,1,47060,12497,0,14612,102,0,12.23,0,1,3,5,0.21,0
0,49,2,1,1,2,2,1,94491,2017,739,2,4693,5617,1,23742,239,1,5.35,0,0,9,26,0.9,1
0,33,2,1,2,0,2,1,137815,3570,791,2,48380,10900,1,36366,144,0,5.22,1,1,2,25,0.65,1
1,45,2,2,2,2,3,2,98424,1983,700,0,6612,28709,0,22124,82,2,13.74,0,1,7,29,0.34,1
1,25,2,3,2,0,2,1,126974,1508,808,0,436,7037,1,22495,188,2,14.34,0,1,7,16,0.08,1
1,42,1,2,1,0,3,2,115813,1134,835,0,15016,29279,0,31837,36,3,6.14,1,1,6,23,0.07,1
1,41,1,0,0,0,2,1,122024,2461,780,1,26735,14350,0,26740,61,2,7.51,0,0,1,18,0.15,0
1,33,1,3,1,1,2,1,50850,620,555,1,12972,11561,0,9424,231,3,13.05,1,0,3,26,0.18,1
1,30,0,2,0,2,3,1,90036,2226,772,1,520,25737,0,26096,186,1,7.87,1,1,2,20,0.43,1
0,42,1,1,1,1,0,0,111979,3132,761,1,46628,7447,0,31920,163,0,7.69,0,0,6,16,0.52,1
0,31,0,3,0,0,2,1,63263,3560,502,1,7817,20390,0,13416,191,1,6.43,1,0,7,22,0.07,0
0,41,2,3,1,2,0,1,71974,2612,843,0,30660,2822,0,20116,205,3,4.68,0,1,9,13,0.14,1
0,43,2,2,1,2,3,2,63774,3393,595,2,40933,13116,0,20768,104,0,3.67,1,0,7,20,0.35,1
1,23,2,3,1,1,3,1,34831,1857,556,0,103,28649,0,12852,102,1,5.35,1,1,5,10,1.0,0
1,35,1,2,1,1,3,0,68641,2898,800,2,24655,1123,0,20120,193,3,5.35,1,0,2,16,0.29,0
1,26,1,1,2,0,0,1,58453,2391,760,0,15398,5486,0,20000,30,0,13.58,0,1,7,23,0.25,0
1,49,1,0,0,1,2,0,144508,2472,787,0,42460,1546,0,28073,110,1,11.37,1,1,3,20,0.85,1
1,27,1,3,1,2,0,0,122800,635,820,2,15993,15219,0,22208,50,0,7.37,0,1,7,28,0.94,1
1,32,1,0,0,0,3,1,85163,4310,774,2,14033,16914,0,22311,191,2,6.14,0,0,4,22,0.78,1
1,33,2,2,0,2,3,1,105542,2681,837,1,34765,14222,0,20138,142,1,11.72,0,0,0,28,0.37,1
0,34,1,3,2,0,3,2,65320,1759,760,1,1533,11448,0,20000,146,3,11.93,0,0,9,15,0.12,1
1,45,1,2,0,0,1,1,138556,708,726,0,28473,10845,0,23002,175,0,8.1,1,1,8,12,0.9,1
1,46,2,0,2,0,3,1,104709,957,785,2,22637,16999,0,30063,46,1,8.83,0,1,4,11,1.0,1
0,62,2,0,1,0,2,1,47014,3228,301,0,2800,18034,1,11812,138,1,5.78,0,1,7,13,0.45,0
1,36,2,3,0,2,3,1,93025,4361,841,2,14055,684,0,23291,33,0,13.88,1,0,0,12,0.99,1
0,34,2,2,1,0,0,1,75135,1319,767,0,34856,586,0,20230,14,1,7.96,0,0,1,5,0.87,1
1,45,1,2,0,0,3,2,57086,1322,720,1,38022,23817,0,20000,74,3,4.05,1,1,8,20,0.1,0
0,47,2,0,0,0,2,2,68787,3370,476,2,22922,1856,0,7627,102,0,12.09,1,1,0,15,0.26,0
0,38,1,0,0,0,1,1,113970,642,752,1,23882,13430,0,23109,99,2,8.04,1,1,4,11,0.49,1
1,30,2,1,0,0,0,1,84867,1834,843,0,5139,15634,0,20247,114,2,12.59,1,0,2,16,0.38,1
0,44,1,3,1,0,3,1,39218,3424,535,1,34136,4201,0,13668,176,2,6.09,1,1,6,10,0.86,0
0,32,1,1,1,0,0,2,51312,1315,306,0,4279,20091,0,5532,49,3,11.41,1,1,7,8,0.32,0
0,49,1,3,1,0,0,2,78213,1958,707,1,31238,5212,0,21868,102,1,3.52,1,0,7,23,0.58,1
1,47,1,1,1,2,2,1,135699,914,785,0,40493,20525,1,31162,181,0,13.9,1,1,8,21,0.73,1
0,46,2,3,0,1,1,0,147765,3373,782,0,31657,21790,0,29890,105,1,13.43,0,1,1,21,0.78,1
0,39,1,2,1,0,0,2,56923,936,747,0,47433,22154,0,20000,115,1,9.85,0,1,3,21,0.42,1
1,28,1,3,0,0,1,1,110507,2019,817,2,31255,15717,0,25551,82,1,6.38,1,0,6,6,0.24,1
1,60,2,1,0,1,3,1,35894,2862,500,0,34274,2027,0,7191,181,0,7.88,1,1,9,24,0.58,0
0,31,1,1,2,0,1,1,140078,3105,704,2,17459,20409,0,32266,99,3,4.72,0,1,0,8,0.1,1
0,39,1,1,2,0,0,1,79460,1691,768,2,21615,27646,0,22653,75,1,5.9,0,1,6,23,0.18,0
1,44,1,3,0,0,1,1,112370,1470,826,0,16792,9182,1,31502,45,3,12.42,0,0,8,21,0.87,1
1,43,0,0,0,0,3,1,117974,713,772,0,17521,9083,0,25546,60,1,4.57,1,1,7,19,0.3,0
0,38,1,1,2,1,2,1,50689,1930,800,1,23732,769,0,20000,71,1,13.95,1,1,2,23,0.83,1
1,34,2,2,0,0,0,1,80943,2181,736,2,4963,16649,1,21963,198,0,6.7,0,0,3,11,0.5,1
0,48,2,2,0,0,2,2,125788,4147,799,1,43474,17507,1,21163,42,0,9.19,0,1,1,16,0.92,1
0,30,1,2,1,2,0,1,102705,2406,738,2,33917,4709,0,26269,60,2,7.22,0,0,0,16,0.78,1
1,26,2,3,2,1,1,1,117481,1036,759,2,22458,14403,0,26412,48,1,3.79,0,0,0,10,1.0,1
1,48,2,3,0,0,1,1,76537,4094,762,2,28917,21635,0,21028,223,0,11.08,0,1,9,24,0.43,0
1,45,2,2,1,0,0,2,144065,2930,789,2,34839,15850,0,37995,70,1,8.87,1,1,0,6,0.75,1
1,52,2,1,1,1,0,1,54157,1144,541,0,30084,19967,0,8752,61,2,11.81,1,1,0,17,0.12,0
1,32,1,3,0,2,0,2,100970,2491,719,2,17516,17743,0,26881,226,2,5.83,0,0,6,19,0.35,1
0,42,1,0,2,1,1,1,110982,2403,823,0,803,5625,0,27695,12,0,8.96,1,0,6,8,0.07,1
0,39,2,2,1,2,1,1,125086,1192,836,0,11541,12500,0,25631,214,1,13.25,0,1,2,19,0.56,1
0,60,1,3,2,0,1,0,50150,2651,571,1,48885,6024,0,11583,194,0,14.93,0,1,6,6,0.82,0
0,39,2,0,1,0,0,1,25986,810,507,0,9380,27972,0,10102,190,0,5.72,0,0,7,9,0.71,1
0,47,1,1,0,2,0,2,82393,2513,831,0,32464,23196,0,22935,209,1,9.65,1,0,9,24,0.88,0
1,34,1,2,0,1,3,1,68259,3836,812,0,5727,12445,0,20167,149,2,6.74,1,1,7,5,0.98,1
0,42,1,3,0,2,1,1,24373,3589,531,0,24276,29827,0,6717,99,3,13.56,1,0,3,28,0.23,0
0,45,1,3,0,0,3,2,59997,2239,803,0,47983,13060,0,20000,37,1,14.26,1,0,3,26,0.34,1
1,41,1,1,2,2,2,1,55260,4860,841,1,36115,10298,0,20000,202,2,4.93,1,1,6,8,0.96,1
1,42,2,0,0,0,1,2,123670,2323,727,1,48833,3510,0,31729,28,1,11.2,0,0,8,16,0.42,1
1,48,0,0,0,1,1,1,136482,4387,767,2,10493,23115,0,24072,231,2,5.22,0,1,0,17,0.94,1
1,18,1,2,2,0,2,1,64246,1715,308,1,14192,24090,1,10274,88,1,7.02,1,1,8,28,0.47,0
0,19,1,0,1,0,0,2,29750,2458,430,1,42859,14940,0,6648,88,3,7.96,1,1,5,22,0.08,0
1,29,0,0,2,0,2,0,119597,4072,753,2,4854,4069,0,33694,28,1,9.61,1,1,0,10,0.47,1
0,34,2,2,2,2,1,2,136534,2237,769,1,43757,22134,0,20182,146,1,12.56,1,0,1,15,0.91,1
1,36,1,2,0,2,3,0,58480,3286,764,1,42982,27581,0,20000,155,0,14.59,1,0,6,13,0.34,1
1,30,1,3,0,0,1,1,23885,3442,303,0,38626,1076,0,5775,208,1,10.97,1,0,4,22,0.24,0
1,65,2,1,1,0,0,2,26732,2017,571,0,43051,23512,0,8804,197,1,7.7,0,0,2,7,0.38,0
0,46,2,0,0,2,0,1,56075,4795,395,0,3907,11089,1,20652,158,2,11.88,0,1,4,5,0.82,0
0,20,2,1,2,2,3,1,55390,1815,530,1,29123,19688,0,20471,116,1,12.85,1,0,6,24,0.97,0
0,28,2,2,0,2,1,1,121118,2044,774,2,34966,27650,0,24858,186,0,6.02,0,0,1,11,0.25,1
1,40,0,1,1,2,0,2,127683,2198,833,2,10229,9962,0,31016,126,0,11.58,1,0,7,24,0.96,1
0,34,2,1,0,0,1,2,88183,3765,745,0,23971,23485,0,23173,152,1,13.34,1,0,0,22,0.47,1
1,31,1,3,0,2,1,1,34034,3455,490,0,42010,27489,0,7318,130,0,8.4,1,1,1,24,0.01,0
0,45,1,3,2,2,1,2,121084,4242,787,2,30758,9234,1,31594,112,2,13.03,1,0,7,22,0.11,1
1,43,1,1,1,1,2,2,147787,546,708,1,10522,2585,0,29716,172,3,8.32,0,0,1,17,0.31,1
0,29,1,0,1,2,2,1,100891,3520,765,1,12593,13093,0,22066,29,3,6.8,0,1,8,15,0.41,1
0,43,2,0,2,0,1,1,115437,1890,750,1,40422,27377,1,27064,218,3,14.59,1,1,4,20,0.67,1
1,35,1,0,0,0,0,1,115211,2539,797,0,45299,6348,0,29134,166,1,13.13,0,1,1,21,0.24,1
1,41,2,3,2,0,2,1,124657,3250,782,0,8911,21675,0,20561,224,1,5.27,1,0,3,10,0.57,1
0,31,1,3,0,1,0,1,80776,3592,765,1,37355,24260,0,23764,156,2,5.31,0,0,1,9,0.86,1
0,28,1,1,1,1,1,2,119745,1322,757,2,4051,11888,1,21978,238,1,11.18,1,0,3,23,0.64,1
0,39,2,1,0,0,3,2,119916,4804,758,1,5699,23462,0,25432,195,3,4.21,0,1,2,21,0.56,1
1,48,0,0,2,2,1,2,101629,952,807,1,2779,27929,1,24638,175,3,5.93,0,1,3,7,0.24,1
1,53,2,1,0,0,0,1,50362,2504,387,0,48803,11865,0,17634,171,3,7.19,1,0,6,17,0.6,0
0,40,1,0,0,0,0,2,51467,4268,829,0,32192,5771,0,20000,221,1,4.76,1,1,8,29,0.56,0
0,47,1,1,2,0,3,2,73543,650,703,1,44170,8282,1,20847,95,2,5.97,0,0,4,18,0.82,1
0,36,0,2,0,0,1,0,60597,4268,408,1,13664,3612,0,14216,127,1,6.91,1,1,6,24,0.71,0
1,26,2,0,2,0,1,2,101998,4123,715,0,19664,6566,0,24880,104,3,7.25,1,1,8,5,0.35,0
1,28,1,0,1,2,1,0,49839,1136,461,1,20613,750,0,5935,116,3,4.09,0,0,8,13,0.79,0
1,43,1,0,0,1,1,2,77896,2951,754,0,6477,7457,0,23104,78,1,4.55,1,1,4,21,0.4,1
1,47,2,2,2,0,0,0,85861,991,709,1,14530,455,0,25407,221,3,3.94,1,1,3,26,0.84,1
1,38,2,1,0,0,1,1,97998,1757,720,2,29903,18679,0,24878,127,2,8.64,1,1,9,8,0.52,0
1,36,1,2,1,1,1,1,101076,1909,712,1,19132,4447,0,27746,166,1,12.8,0,0,4,10,0.02,1
1,43,2,2,1,0,2,1,81932,4568,813,2,1392,20956,0,23317,195,1,5.92,0,1,9,17,0.91,1
1,34,2,2,0,1,3,2,132170,2598,836,1,39240,12186,0,28996,38,3,7.47,1,0,1,10,0.92,1
0,57,1,3,0,2,0,1,53850,2879,522,1,20043,20537,0,19138,50,3,4.52,0,1,7,28,0.08,1
0,48,1,2,0,2,3,2,126222,4291,821,1,6874,26093,0,35768,198,1,6.42,1,0,4,16,0.91,1
1,66,1,2,1,2,1,2,28232,1594,413,1,42933,16370,0,10892,216,0,3.95,0,0,5,9,0.21,0
1,47,2,3,1,0,1,1,82403,975,713,1,43598,28026,0,23715,76,1,3.59,1,0,5,14,0.08,1
1,25,1,0,2,2,0,1,50634,791,591,0,39586,7056,0,20010,115,3,13.51,1,1,4,8,0.03,0
1,33,1,0,1,1,2,2,114550,3244,773,1,40711,27669,0,33687,89,1,4.18,0,1,1,25,0.98,0
0,48,2,1,0,1,2,2,64992,916,765,2,40265,18177,0,20000,57,2,12.46,0,0,5,19,0.89,1
0,38,1,3,1,0,2,2,105075,1975,748,2,31391,22513,0,27536,122,2,12.91,1,1,2,12,0.19,1
